ID,Goal,Average,Interval1,Interval2,Interval3,Interval4,Interval5,Trial
1,2:02,01:55.5,01:57.1,01:55.6,01:54.0,01:56.3,01:54.7,1
2,2:00,01:58.3,01:59.9,01:57.7,01:57.5,01:59.0,01:57.6,1
3,2:00,01:59.8,01:59.5,01:57.6,01:58.1,02:02.5,02:01.3,1
4,2:05,01:59.9,01:59.5,02:00.4,01:58.9,02:01.1,01:59.5,1
5,2:10,01:59.9,02:01.0,02:00.7,01:58.1,02:01.2,01:58.8,1
6,2:02,02:01.5,02:02.3,02:00.8,02:00.6,02:02.8,02:01.0,1
7,2:09,02:02.5,02:01.5,02:03.6,02:01.2,02:04.6,02:01.8,1
8,2:08,02:02.5,02:03.2,02:03.2,02:01.2,02:03.1,02:01.7,1
9,2:05,02:04.5,02:04.6,02:02.3,02:02.6,02:07.0,02:06.0,1
10,2:06,02:04.7,02:05.2,02:03.7,02:02.5,02:04.7,02:07.5,1
11,2:07,02:06.4,02:06.1,02:05.5,02:05.4,02:07.9,02:06.9,1
12,2:17,02:07.9,02:09.1,02:07.6,02:07.4,02:08.6,02:06.7,1
13,2:10,02:10.3,02:06.8,02:08.2,02:10.6,02:13.4,02:12.5,1
14,2:15,02:10.5,02:12.5,02:11.1,02:09.1,02:13.1,02:08.2,1
15,2:15,02:17.6,02:17.9,02:15.7,02:15.8,02:19.2,02:19.3,1
16,1:55,01:55.1,01:54.5,01:56.8,01:56.6,01:54.3,01:53.5,2
17,1:53,01:56.6,01:59.4,01:56.1,01:57.0,01:57.1,01:53.6,2
18,1:54,01:56.6,01:56.9,01:57.0,01:57.1,01:56.2,01:56.0,2
19,1:59,01:57.8,01:57.9,01:58.0,01:57.7,01:57.5,01:58.1,2
20,1:53,01:58.7,01:57.5,01:59.7,01:58.7,01:59.7,01:57.8,2
21,1:57,01:58.8,01:57.6,01:58.7,01:59.5,01:59.3,01:59.1,2
22,1:54,01:58.9,01:58.6,01:59.4,01:58.7,01:59.4,01:58.5,2
23,1:56,02:00.1,02:01.0,02:02.0,02:00.0,01:59.1,01:58.5,2
24,1:58,02:00.3,02:00.8,02:01.9,02:00.9,01:59.0,01:59.0,2
25,2:00,02:02.4,01:59.7,01:59.5,02:04.6,02:05.1,02:03.3,2
26,2:00,02:03.5,02:02.7,02:02.4,02:03.6,02:04.5,02:04.5,2
27,1:57,02:03.5,02:04.9,02:03.7,02:03.2,02:03.8,02:02.3,2
28,1:58,02:05.3,02:07.3,02:07.5,02:05.1,02:04.4,02:02.1,2
29,2:02,02:05.5,02:03.5,02:04.5,02:06.8,02:05.7,02:07.3,2
30,2:08,02:05.6,02:04.9,02:03.5,02:08.8,02:07.2,02:03.6,2
31,2:10,02:12.9,02:10.2,02:13.0,02:14.8,02:14.5,02:12.2,2
32,2:10,02:16.9,02:14.2,02:16.8,02:19.3,02:17.3,02:17.0,2
